,totalElectricity
0,-0.573641707744293
1,-0.5405788942914234
2,-0.4929243089781838
3,-0.4710661423777772
4,-0.4605825702165289
5,-0.4693815308896499
6,-0.4660364823311739
7,-0.4676328086428222
8,-0.4480058934982763
9,-0.4564098033423047
10,-0.4669401801461808
11,-0.4790827125282603
12,-0.4776231596221599
13,-0.4820972966097271
14,-0.4869922497961658
15,-0.497333493025523
16,-0.5139145118060853
17,-0.5068373370580617
18,-0.524537662336952
19,-0.5418579263522469
20,-0.464961245448113
21,-0.4482842327802361
22,-0.4281307749450332
23,-0.4091308497746561
24,-0.4157593194703305
25,-0.41328529941404
26,-0.4159431916054172
27,-0.4266926585674775
28,-0.4402610789574622
29,-0.4560172332543625
30,-0.4612425638330499
31,-0.4806986133962797
32,-0.4931045309366586
33,-0.5156324083877122
34,-0.5251138176807939
35,-0.5498206245796446
36,-0.5646738915660747
37,-0.584780044071991
38,-0.6054041003960817
39,-0.6320207701503866
40,-0.5255734520829558
41,-0.4678381628959747
42,-0.4168777752823341
43,-0.4214688961771892
44,-0.4232196419417156
45,-0.4264705655149361
46,-0.4389595305180783
47,-0.4463008248475347
48,-0.4656273484839072
49,-0.48303252710639
50,-0.4949923647612232
51,-0.5176109922152099
52,-0.5428405010556705
53,-0.5532199090530607
54,-0.5775082436390074
55,-0.5940550648931555
56,-0.6252168241828361
57,-0.6364244159308559
58,-0.6697466990527945
59,-0.7041970438354966
60,-0.7036546488519486
61,-0.5286000204389023
62,-0.4813282378008902
63,-0.4575792771287117
64,-0.471627774195045
65,-0.4761024836813486
66,-0.4711621446992872
67,-0.4876348048015619
68,-0.5199726498378539
69,-0.5205045901824781
70,-0.5506728577112919
71,-0.5623197999482363
72,-0.5900987998559294
73,-0.6208977471758578
74,-0.632393396505758
75,-0.6592839773574322
76,-0.6912946897043388
77,-0.714776091476276
78,-0.7542992348062619
79,-0.789614970927542
80,-1.2242607922397477
81,-0.7145468662520889
82,-0.6141399824338347
83,-0.5629846810557858
84,-0.5566277381778153
85,-0.5466831023587814
86,-0.5517019961400784
87,-0.5528363147416762
88,-0.5751382917356602
89,-0.5918380516121817
90,-0.6267061403308227
91,-0.6292563433164683
92,-0.6635363571752625
93,-0.6929465590513169
94,-0.7309287275828628
95,-0.7487925395298441
96,-0.7776171040486155
97,-0.8081277611176987
98,-0.8494186407378831
99,-0.8980469211720045
100,-9.302816983706805
101,-1.1408263939353445
102,-0.7832136399708833
103,-0.7049019761503834
104,-0.6875642892073139
105,-0.6906864452854417
106,-0.66690826034505
107,-0.6569141576260666
108,-0.6670237503628883
109,-0.687996926544121
110,-0.7073220170989841
111,-0.7199359148110297
112,-0.737206508258145
113,-0.7915433743779063
114,-0.8332875164695336
115,-0.8653951503518813
116,-0.8966324287137442
117,-0.945311224803606
118,-0.9787706338318548
119,-1.0378150756743338
120,-14.234767027038322
121,-2.908399881059958
122,-1.3477379958636666
123,-0.98070902154205
124,-0.8598423222673138
125,-0.8064157564179832
126,-0.7938914302714417
127,-0.7908692004067694
128,-0.8076903569762194
129,-0.7886194494627777
130,-0.8279360927840694
131,-0.8627828543480556
132,-0.91035649494295
133,-0.9209599310682012
134,-0.9664379860217922
135,-1.0034228341626596
136,-1.0664756835600395
137,-1.1026691423477937
138,-1.1777652799279363
139,-1.219029366691247
